epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1193,1.81387,3.01369,1.68084,0.93721,0.19322,0.56291,0.28543,1.65317,2.41278,1.55222,0.000274321,0.000274321,0.000274321
2,20.8468,1.65095,1.57948,1.49023,0.76005,0.63589,0.72381,0.38982,1.57334,1.42224,1.523,0.000541059,0.000541059,0.000541059
3,31.0208,1.5818,1.4276,1.46413,0.77054,0.68372,0.74952,0.40141,1.55185,1.23759,1.50745,0.0007968,0.0007968,0.0007968
4,41.1621,1.53009,1.32286,1.41671,0.84726,0.70798,0.80034,0.45632,1.50105,1.13823,1.47316,0.00078352,0.00078352,0.00078352
5,51.6216,1.48689,1.24454,1.38727,0.8263,0.72942,0.79036,0.45079,1.4664,1.0599,1.45617,0.000767026,0.000767026,0.000767026
6,61.9071,1.44019,1.18564,1.35542,0.8545,0.73368,0.80901,0.47189,1.45259,1.04671,1.42434,0.000750533,0.000750533,0.000750533
7,71.8612,1.39862,1.10819,1.32925,0.86638,0.70551,0.81147,0.47913,1.43355,1.01487,1.4228,0.00073404,0.00073404,0.00073404
8,81.6199,1.35467,1.03662,1.3009,0.88392,0.77488,0.84509,0.52016,1.36926,0.89254,1.36857,0.000717546,0.000717546,0.000717546
9,91.7028,1.33025,0.99458,1.27658,0.88675,0.74783,0.84331,0.51774,1.35355,0.89465,1.37485,0.000701053,0.000701053,0.000701053
10,103.46,1.33033,0.97601,1.27138,0.87967,0.78074,0.84934,0.52762,1.31182,0.8514,1.3337,0.000684559,0.000684559,0.000684559
11,114.757,1.29259,0.93947,1.24848,0.88831,0.76968,0.85284,0.5383,1.30369,0.8506,1.33349,0.000668066,0.000668066,0.000668066
12,126.58,1.27007,0.89876,1.23601,0.89878,0.79442,0.86922,0.55283,1.27989,0.78994,1.30409,0.000651573,0.000651573,0.000651573
13,137.287,1.23471,0.85374,1.22228,0.87174,0.79405,0.85429,0.53976,1.28608,0.80095,1.30877,0.000635079,0.000635079,0.000635079
14,147.689,1.2351,0.84925,1.22335,0.92267,0.77879,0.87044,0.55124,1.27394,0.78452,1.30071,0.000618586,0.000618586,0.000618586
15,158.13,1.23136,0.82646,1.22282,0.909,0.79205,0.87308,0.55059,1.28811,0.77764,1.29966,0.000602092,0.000602092,0.000602092
16,168.537,1.20766,0.81883,1.2118,0.91745,0.78858,0.86212,0.5509,1.25606,0.75272,1.29554,0.000585599,0.000585599,0.000585599
17,178.719,1.21538,0.80772,1.21446,0.91376,0.79428,0.87865,0.57083,1.22845,0.72932,1.27501,0.000569106,0.000569106,0.000569106
18,189.107,1.17849,0.77937,1.19687,0.89234,0.804,0.86726,0.55894,1.24104,0.74908,1.28816,0.000552612,0.000552612,0.000552612
